state,population_2023,median_income($1k),insured,broadband,facility_count,avg_travel_time_min
California,39576757,95.521,93.6,61.99,2867,6.65
Texas,29994331,75.78,83.7,66.43,821,5.84
Florida,22377419,73.311,89.3,67.23,808,6.92
New York,19530351,82.095,95.19999999999999,75.42,882,5.52
Pennsylvania,12804123,73.824,94.6,73.86,479,7.79
Illinois,12585336,80.306,93.9,69.35,534,7.59
Ohio,11780017,67.769,93.9,66.83,599,8.45
Georgia,10942800,74.632,88.6,66.86,444,5.46
North Carolina,10701022,70.804,90.8,68.5,744,6.81
Michigan,10050811,69.183,95.6,61.7,478,6.79
New Jersey,9387600,99.781,92.80000000000001,81.25,175,6.21
Virginia,8927028,89.931,93.6,71.61,236,7.89
Washington,7831367,94.605,93.7,66.49,467,6.15
Arizona,7359192,77.315,90.2,69.08,302,7.96
Massachusetts,7094818,99.858,97.39999999999999,72.09,304,9.08
Tennessee,7091564,67.631,90.7,68.7,241,7.64
Indiana,6833037,69.477,93.19999999999999,65.22,465,6.81
Missouri,6169270,68.545,92.5,68.5,455,5.39
Maryland,6206806,98.678,93.7,77.39,166,6.89
Wisconsin,5935099,74.631,95.1,71.25,269,7.28
Colorado,5797082,92.911,93.30000000000001,65.51,304,6.26
Minnesota,5707390,85.086,96.0,65.06,94,9.26
South Carolina,5347600,67.804,91.0,73.24,342,4.63
Alabama,5074296,62.212,91.60000000000001,65.38,217,4.8
Louisiana,4627002,58.229,93.0,66.6,485,6.37
Kentucky,4570000,61.118,94.39999999999999,72.11,669,3.77
Oregon,4370000,80.16,94.6,67.76,328,6.41
Oklahoma,4020000,62.138,88.6,67.87,219,7.7
Connecticut,3605944,91.665,94.39999999999999,73.69,469,6.35
Iowa,3193079,71.433,95.0,69.33,130,6.95
Utah,3400000,93.421,92.30000000000001,68.68,66,8.21
Nevada,3210000,76.364,89.3,64.44,71,5.21
Arkansas,3045637,58.7,90.8,67.39,273,8.05
Mississippi,2949965,54.203,89.5,67.34,315,6.64
Kansas,2940000,70.333,91.60000000000001,71.33,187,5.71
New Mexico,2100000,62.268,91.0,72.62,256,5.8
Nebraska,1970000,74.59,93.7,66.87,95,5.48
West Virginia,1780000,55.948,94.10000000000001,65.75,515,8.43
Idaho,1820000,74.942,91.0,68.13,226,9.29
Hawaii,1440000,95.322,97.2,61.69,131,8.65
New Hampshire,1390000,96.838,95.39999999999999,68.28,85,6.94
Maine,1370000,73.733,93.9,66.24,200,3.9
Montana,1110000,70.804,91.5,70.05,153,5.99
Rhode Island,1090000,84.972,95.5,77.96,70,6.21
Delaware,1040000,81.361,93.19999999999999,81.71,15,6.0
South Dakota,923484,71.81,91.4,73.12,46,7.65
North Dakota,780000,76.525,95.8,75.86,34,4.21
Alaska,730000,86.631,89.5,75.35,229,60.0
Vermont,645000,81.211,96.6,70.59,101,12.53
Wyoming,578000,72.415,89.5,73.55,32,5.23
District of Columbia,712816,108.21,97.3,26.79,80,7.29
