state,population_2023,median_income($1k),insured,broadband,facility_count,avg_travel_time_min,facility_100k,travel_norm,insured_norm,broadband_norm,income_norm,facility_norm,access_score,access_rank,state_abbr
California,39576757,95.521,93.6,61.99,2867,6.65,7.24,0.948781789080562,0.7226277372262766,0.6409322651128916,0.7650489751328532,1.0,80.67,1,CA
Massachusetts,7094818,99.858,97.4,72.09,304,9.08,4.28,0.9055664236172861,1.0,0.8248361252731247,0.8453533801173924,0.10133239831697055,69.99,2,MA
New York,19530351,82.095,95.2,75.42,882,5.52,4.52,0.9688778232260359,0.8394160583941604,0.8854697742170431,0.5164515710926362,0.30399719495091165,66.31,3,NY
New Jersey,9387600,99.781,92.8,81.25,175,6.21,1.86,0.9566067935265872,0.6642335766423352,0.9916241806263657,0.8439276390097582,0.056100981767180924,64.29,4,NJ
Connecticut,3605944,91.665,94.4,73.69,469,6.35,13.01,0.9541170193846701,0.781021897810219,0.8539694100509833,0.6936508230414578,0.15918653576437589,64.0,5,CT
Maryland,6206806,98.678,93.7,77.39,166,6.89,2.67,0.9445136048372755,0.72992700729927,0.9213401310997816,0.8235043605458552,0.052945301542777,63.91,6,MD
Hawaii,1440000,95.322,97.2,61.69,131,8.65,9.1,0.9132135870531745,0.9854014598540144,0.635469774217043,0.7613642675949415,0.04067321178120617,62.72,7,HI
New Hampshire,1390000,96.838,95.4,68.28,85,6.94,6.12,0.9436243997865907,0.854014598540146,0.7554624908958486,0.7894347029088822,0.024544179523141654,62.3,8,NH
Rhode Island,1090000,84.972,95.5,77.96,70,6.21,6.42,0.9566067935265872,0.8613138686131383,0.9317188638018936,0.5697224433869683,0.019284712482468443,61.61,9,RI
Washington,7831367,94.605,93.7,66.49,467,6.15,5.96,0.9576738395874088,0.72992700729927,0.7228696285506191,0.7480882107874907,0.1584852734922861,61.21,10,WA
Virginia,8927028,89.931,93.6,71.61,236,7.89,2.64,0.9267295038235818,0.7226277372262766,0.816096139839767,0.6615438739422668,0.07748948106591866,58.82,11,VA
Vermont,645000,81.211,96.6,70.59,101,12.53,15.66,0.8442112751200427,0.9416058394160576,0.7975236707938822,0.5000833225322643,0.030154277699859747,58.69,12,VT
North Dakota,780000,76.525,95.8,75.86,34,4.21,4.36,0.9921749955539747,0.8832116788321162,0.8934814275309542,0.41331679226766915,0.006661991584852735,58.3,13,ND
Colorado,5797082,92.911,93.3,65.51,304,6.26,5.24,0.9557175884759026,0.7007299270072987,0.7050254916241808,0.7167219064195383,0.10133239831697055,58.04,14,CO
Illinois,12585336,80.306,93.9,69.35,534,7.59,4.24,0.9320647341276899,0.7445255474452556,0.7749453750910416,0.48332623548799225,0.18197755960729312,57.65,15,IL
Pennsylvania,12804123,73.824,94.6,73.86,479,7.79,3.74,0.9285079139249511,0.7956204379562036,0.8570648215586308,0.36330475679078633,0.16269284712482468,57.65,15,PA
Minnesota,5707390,85.086,96.0,65.06,94,9.26,1.65,0.9023652854348213,0.8978102189781018,0.696831755280408,0.5718332808709983,0.02769985974754558,57.53,17,MN
Delaware,1040000,81.361,93.2,81.71,15,6.0,1.44,0.9603414547394629,0.6934306569343064,1.0,0.502860740274409,0.0,57.0,18,DE
Oregon,4370000,80.16,94.6,67.76,328,6.41,7.51,0.9530499733238484,0.7956204379562036,0.7459941733430446,0.4806228822189716,0.10974754558204769,56.7,19,OR
Wisconsin,5935099,74.631,95.1,71.25,269,7.28,4.53,0.9375778054419349,0.8321167883211671,0.8095411507647489,0.378247264243524,0.08906030855539972,56.16,20,WI
Utah,3400000,93.421,92.3,68.68,66,8.21,1.94,0.9210385914991996,0.6277372262773717,0.7627458120903134,0.7261651267428298,0.01788218793828892,55.13,21,UT
District of Columbia,712816,108.21,97.3,26.79,80,7.29,11.22,0.937399964431798,0.9927007299270066,0.0,1.0,0.02279102384291725,54.76,22,DC
Kentucky,4570000,61.118,94.4,72.11,669,3.77,14.64,1.0,0.781021897810219,0.8252002913328479,0.12803895791286315,0.22931276297335204,54.32,23,KY
Michigan,10050811,69.183,95.6,61.7,478,6.79,4.76,0.9462920149386449,0.8686131386861305,0.6356518572469048,0.27737145184883455,0.1623422159887798,53.5,24,MI
Iowa,3193079,71.433,95.0,69.33,130,6.95,4.07,0.9434465587764539,0.8248175182481748,0.7745812090313183,0.3190327179810026,0.04032258064516129,52.94,25,IA
Ohio,11780017,67.769,93.9,66.83,599,8.45,5.08,0.9167704072559132,0.7445255474452556,0.7290604515659141,0.251189660599552,0.20476858345021037,52.51,26,OH
Maine,1370000,73.733,93.9,66.24,200,3.9,14.6,0.9976880668682198,0.7445255474452556,0.7183175528040786,0.3616197900272188,0.06486676016830295,51.81,27,ME
Nebraska,1970000,74.59,93.7,66.87,95,5.48,4.82,0.9695891872665837,0.72992700729927,0.7297887836853607,0.37748810339400457,0.028050490883590462,50.79,28,NE
Indiana,6833037,69.477,93.2,65.22,465,6.81,6.81,0.945936332918371,0.6934306569343064,0.6997450837581938,0.28281519062343774,0.15778401122019636,50.39,29,IN
North Carolina,10701022,70.804,90.8,68.5,744,6.81,6.95,0.945936332918371,0.5182481751824812,0.7594683175528042,0.30738607958227643,0.2556100981767181,50.14,30,NC
Missouri,6169270,68.545,92.5,68.5,455,5.39,7.38,0.9711897563578161,0.6423357664233573,0.7594683175528042,0.26555816838557966,0.15427769985974754,50.13,31,MO
Florida,22377419,73.311,89.3,67.23,808,6.92,3.61,0.9439800818068647,0.40875912408759074,0.7363437727603789,0.3538059881126522,0.27805049088359046,48.41,32,FL
South Carolina,5347600,67.804,91.0,73.24,342,4.63,6.4,0.9847056731282233,0.5328467153284668,0.8457756737072105,0.25183772473938565,0.11465638148667602,47.99,33,SC
Kansas,2940000,70.333,91.6,71.33,187,5.71,6.36,0.9654988440334341,0.5766423357664227,0.8109978150036418,0.2986649878719425,0.06030855539971949,47.77,34,KS
Arizona,7359192,77.315,90.2,69.08,302,7.96,4.1,0.9254846167526232,0.47445255474452547,0.770029133284778,0.4279445257096302,0.10063113604488079,47.59,35,AZ
West Virginia,1780000,55.948,94.1,65.75,515,8.43,28.93,0.9171260892761871,0.7591240875912401,0.7093954843408595,0.0323106264002814,0.1753155680224404,47.37,36,WV
South Dakota,923484,71.81,91.4,73.12,46,7.65,4.98,0.9309976880668682,0.562043795620438,0.8435906773488713,0.32601329457292577,0.010869565217391304,47.02,37,SD
Montana,1110000,70.804,91.5,70.05,153,5.99,13.78,0.9605192957495998,0.5693430656934303,0.7876911871813548,0.30738607958227643,0.04838709677419355,46.95,38,MT
Idaho,1820000,74.942,91.0,68.13,226,9.29,12.42,0.9018317624044104,0.5328467153284668,0.7527312454479242,0.38400577702890354,0.07398316970546985,46.92,39,ID
Louisiana,4627002,58.229,93.0,66.6,485,6.37,10.48,0.9537613373643963,0.6788321167883208,0.7248725418790969,0.07454589219915932,0.16479663394109398,46.62,40,LA
New Mexico,2100000,62.268,91.0,72.62,256,5.8,12.19,0.9638982749422017,0.5328467153284668,0.8344865258557904,0.14933249393597126,0.08450210378681627,44.75,41,NM
Georgia,10942800,74.632,88.6,66.86,444,5.46,4.06,0.9699448692868575,0.3576642335766416,0.7296067006554989,0.378265780361805,0.15042075736325386,44.56,42,GA
Tennessee,7091564,67.631,90.7,68.7,241,7.64,3.4,0.9311755290770052,0.510948905109489,0.7631099781500366,0.24863443627677892,0.07924263674614306,44.3,43,TN
Wyoming,578000,72.415,89.5,73.55,32,5.23,5.54,0.9740352125200071,0.42335766423357635,0.8514202476329207,0.3372155461329088,0.005960729312762973,44.25,44,WY
Alabama,5074296,62.212,91.6,65.38,217,4.8,4.28,0.9816823759558955,0.5766423357664227,0.7026584122359796,0.14829559131223732,0.07082748948106592,43.02,45,AL
Nevada,3210000,76.364,89.3,64.44,71,5.21,2.21,0.9743908945402809,0.40875912408759074,0.6855426074289876,0.41033569722443397,0.019635343618513323,42.37,46,NV
Alaska,730000,86.631,89.5,75.35,229,60.0,31.37,0.0,0.42335766423357635,0.8841951930080116,0.600440683615087,0.07503506311360449,42.15,47,AK
Arkansas,3045637,58.7,90.8,67.39,273,8.05,8.96,0.9238840476613907,0.5182481751824812,0.7392571012381647,0.08326698390949322,0.09046283309957924,40.91,48,AR
Texas,29994331,75.78,83.7,66.43,821,5.84,2.74,0.963186910901654,0.0,0.7217771303714496,0.39952228414835117,0.2826086956521739,39.12,49,TX
Oklahoma,4020000,62.138,88.6,67.87,219,7.7,5.45,0.9301084830161835,0.3576642335766416,0.7479970866715224,0.14692539855944595,0.07152875175315568,37.93,50,OK
Mississippi,2949965,54.203,89.5,67.34,315,6.64,10.68,0.948959630090699,0.42335766423357635,0.7383466860888567,0.0,0.10518934081346423,37.47,51,MS
