Location,Median Annual Household Income
United States,$77719
Alabama,$62212
Alaska,$86631
Arizona,$77315
Arkansas,$58700
California,$95521
Colorado,$92911
Connecticut,$91665
Delaware,$81361
District of Columbia,$108210
Florida,$73311
Georgia,$74632
Hawaii,$95322
Idaho,$74942
Illinois,$80306
Indiana,$69477
Iowa,$71433
Kansas,$70333
Kentucky,$61118
Louisiana,$58229
Maine,$73733
Maryland,$98678
Massachusetts,$99858
Michigan,$69183
Minnesota,$85086
Mississippi,$54203
Missouri,$68545
Montana,$70804
Nebraska,$74590
Nevada,$76364
New Hampshire,$96838
New Jersey,$99781
New Mexico,$62268
New York,$82095
North Carolina,$70804
North Dakota,$76525
Ohio,$67769
Oklahoma,$62138
Oregon,$80160
Pennsylvania,$73824
Rhode Island,$84972
South Carolina,$67804
South Dakota,$71810
Tennessee,$67631
Texas,$75780
Utah,$93421
Vermont,$81211
Virginia,$89931
Washington,$94605
West Virginia,$55948
Wisconsin,$74631
Wyoming,$72415
Puerto Rico,$25621
